Équipement,Type,Geo Point,Geo Shape,Arrondissement,COG,Code_postal
PLOMBIER COUVREUR CHAUFFAGISTE,Services aux particuliers,"43.319281548285005, 5.456842494202941","{""coordinates"": [5.456842494202941, 43.319281548285005], ""type"": ""Point""}",Marseille 12,13212,13012
ERGOTHÉRAPEUTE,Santé,"43.312307021180715, 5.445429548759127","{""coordinates"": [5.445429548759127, 43.312307021180715], ""type"": ""Point""}",Marseille 12,13212,13012
MAÇON,Services aux particuliers,"43.31365140876034, 5.413239847266979","{""coordinates"": [5.413239847266979, 43.31365140876034], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.29883650372322, 5.436496099073524","{""coordinates"": [5.436496099073524, 43.29883650372322], ""type"": ""Point""}",Marseille 12,13212,13012
PLOMBIER COUVREUR CHAUFFAGISTE,Services aux particuliers,"43.30094874212361, 5.432038808184306","{""coordinates"": [5.432038808184306, 43.30094874212361], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.31334034654279, 5.428392506576183","{""coordinates"": [5.428392506576183, 43.31334034654279], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE IMMOBILIÈRE,Services aux particuliers,"43.31098884760922, 5.430009541041021","{""coordinates"": [5.430009541041021, 43.31098884760922], ""type"": ""Point""}",Marseille 12,13212,13012
ÉLECTRICIEN,Services aux particuliers,"43.317076123881044, 5.460622978355518","{""coordinates"": [5.460622978355518, 43.317076123881044], ""type"": ""Point""}",Marseille 12,13212,13012
ÉLECTRICIEN,Services aux particuliers,"43.305029356484475, 5.428923298792888","{""coordinates"": [5.428923298792888, 43.305029356484475], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.307695840804996, 5.413761519444337","{""coordinates"": [5.413761519444337, 43.307695840804996], ""type"": ""Point""}",Marseille 12,13212,13012
MAÇON,Services aux particuliers,"43.310650929245924, 5.437104182739039","{""coordinates"": [5.437104182739039, 43.310650929245924], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN D’OPTIQUE,Commerces,"43.29623099395671, 5.428436336330282","{""coordinates"": [5.428436336330282, 43.29623099395671], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN D’ARTICLES DE SPORTS ET DE LOISIRS,Commerces,"43.29054518487474, 5.421042448161608","{""coordinates"": [5.421042448161608, 43.29054518487474], ""type"": ""Point""}",Marseille 12,13212,13012
"BANQUE,CAISSE D’ÉPARGNE",Services aux particuliers,"43.31235263314589, 5.464934706853799","{""coordinates"": [5.464934706853799, 43.31235263314589], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN GASTRO-ENTÉROLOGIE HÉPATOLOGIE,Santé,"43.29592093540184, 5.443290722083368","{""coordinates"": [5.443290722083368, 43.29592093540184], ""type"": ""Point""}",Marseille 12,13212,13012
MENUISIER CHARPENTIER SERRURIER,Services aux particuliers,"43.318097952609186, 5.442510955873592","{""coordinates"": [5.442510955873592, 43.318097952609186], ""type"": ""Point""}",Marseille 12,13212,13012
PLÂTRIER PEINTRE,Services aux particuliers,"43.3140170556369, 5.437258832746414","{""coordinates"": [5.437258832746414, 43.3140170556369], ""type"": ""Point""}",Marseille 12,13212,13012
MENUISIER CHARPENTIER SERRURIER,Services aux particuliers,"43.30791505515901, 5.466551447172095","{""coordinates"": [5.466551447172095, 43.30791505515901], ""type"": ""Point""}",Marseille 12,13212,13012
PARFUMERIE-COSMÉTIQUE,Commerces,"43.30529133242579, 5.4522135951139","{""coordinates"": [5.4522135951139, 43.30529133242579], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN D’OPTIQUE,Commerces,"43.30857411472403, 5.4237255492116","{""coordinates"": [5.4237255492116, 43.30857411472403], ""type"": ""Point""}",Marseille 12,13212,13012
PLÂTRIER PEINTRE,Services aux particuliers,"43.308929546750285, 5.424041575849295","{""coordinates"": [5.424041575849295, 43.308929546750285], ""type"": ""Point""}",Marseille 12,13212,13012
TERRAINS DE GRANDS JEUX,"Sports, loisirs et culture","43.319099958437896, 5.442019803407835","{""coordinates"": [5.442019803407835, 43.319099958437896], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.3073237909951, 5.411374085631314","{""coordinates"": [5.411374085631314, 43.3073237909951], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN DE VÊTEMENTS,Commerces,"43.304468923982384, 5.415449517380851","{""coordinates"": [5.415449517380851, 43.304468923982384], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE IMMOBILIÈRE,Services aux particuliers,"43.30337614595609, 5.411669478504187","{""coordinates"": [5.411669478504187, 43.30337614595609], ""type"": ""Point""}",Marseille 12,13212,13012
MASSEUR KINÉSITHÉRAPEUTE,Santé,"43.30869716629173, 5.435848186096153","{""coordinates"": [5.435848186096153, 43.30869716629173], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.29070865604039, 5.424063863791239","{""coordinates"": [5.424063863791239, 43.29070865604039], ""type"": ""Point""}",Marseille 12,13212,13012
SERVICES FUNÉRAIRES,Services aux particuliers,"43.29054518487474, 5.421042448161608","{""coordinates"": [5.421042448161608, 43.29054518487474], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.305483782115765, 5.438152607689987","{""coordinates"": [5.438152607689987, 43.305483782115765], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE IMMOBILIÈRE,Services aux particuliers,"43.29986289118245, 5.426228966681603","{""coordinates"": [5.426228966681603, 43.29986289118245], ""type"": ""Point""}",Marseille 12,13212,13012
MÉDECIN GÉNÉRALISTE,Santé,"43.31002392583792, 5.420869666199416","{""coordinates"": [5.420869666199416, 43.31002392583792], ""type"": ""Point""}",Marseille 12,13212,13012
MASSEUR KINÉSITHÉRAPEUTE,Santé,"43.30173418213093, 5.41969188349796","{""coordinates"": [5.41969188349796, 43.30173418213093], ""type"": ""Point""}",Marseille 12,13212,13012
MASSEUR KINÉSITHÉRAPEUTE,Santé,"43.317240503627104, 5.466443057320039","{""coordinates"": [5.466443057320039, 43.317240503627104], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN CARDIOLOGIE,Santé,"43.30625970663838, 5.422696940146228","{""coordinates"": [5.422696940146228, 43.30625970663838], ""type"": ""Point""}",Marseille 12,13212,13012
ENTREPRISE GÉNÉRALE DU BÂTIMENT,Services aux particuliers,"43.31484605335876, 5.425004415432376","{""coordinates"": [5.425004415432376, 43.31484605335876], ""type"": ""Point""}",Marseille 12,13212,13012
MAÇON,Services aux particuliers,"43.31253448434462, 5.46363366499269","{""coordinates"": [5.46363366499269, 43.31253448434462], ""type"": ""Point""}",Marseille 12,13212,13012
STRUCTURE PSYCHIATRIQUE EN AMBULATOIRE,Santé,"43.301451577194356, 5.41917762737233","{""coordinates"": [5.41917762737233, 43.301451577194356], ""type"": ""Point""}",Marseille 12,13212,13012
CHIRURGIEN DENTISTE,Santé,"43.3151754348621, 5.414478528646848","{""coordinates"": [5.414478528646848, 43.3151754348621], ""type"": ""Point""}",Marseille 12,13212,13012
